"Summary report generated by run_summary.py, https://github.com/aekiss/run_summary"
report generated:,2020-12-17T10:15:44+11:00
control directory path:,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,git branch:,01deg_jra55v140_iaf_cycle3
output path:,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3
,Job Id,Run completion date,Exit Status,Timeout,Walltime Requested (hr),Walltime Used (hr),qsub_flags,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Failed jobs,Failed jobids,Queue,Service Units,SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages
,13503099,2020-11-14T00:28:09,1,False,5.0,1.9755555555555555,,488,,,,,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,,,,,Andrew Kiss,,,,20103.25,,,,,,4536.320000000298,5088,,,,,,,,,,,,,,7543c8ed5d6bde2d81749d91e7054a254409ee36,2020-11-13 22:09:28 +1100,,
,13512449,2020-11-14T12:29:04,-14,False,5.0,1.3802777777777777,,,,,,,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,,,,,Andrew Kiss,,,,14045.71,,,,,,4628.480000000447,5088,,,,,,,,,,,,,,7543c8ed5d6bde2d81749d91e7054a254409ee36,2020-11-13 22:09:28 +1100,,
,13514391,2020-11-14T13:40:50,1,False,5.0,0.0005555555555555556,,,,,,,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,,,,,Andrew Kiss,,,,5.65,,,,,,0.11412109341472387,5088,,,,,,,,,,,,,,7543c8ed5d6bde2d81749d91e7054a254409ee36,2020-11-13 22:09:28 +1100,,
,13520321,2020-11-14T20:31:13,1,False,5.0,0.0005555555555555556,,,,,,,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,,,,,Andrew Kiss,,,,5.65,,,,,,0.031933593563735485,5088,,,,,,,,,,,,,,7543c8ed5d6bde2d81749d91e7054a254409ee36,2020-11-13 22:09:28 +1100,,
,13540902,2020-11-15T22:51:10,0,False,5.0,4.508611111111111,-W umask=027,488,1958-01-01T00:00:00,1958-04-01T00:00:00,,90.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/output488,236.945,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/restart488,49.467,Andrew Kiss,,,normal,45879.63,,,,,,5109.7599999997765,5088,,,0.129,2034.815233,7025.89,1999.73,"[80, 75]",sectrobin,40,30,,80,2,7543c8ed5d6bde2d81749d91e7054a254409ee36,2020-11-13 22:09:28 +1100,,
,13556668,2020-11-16T21:58:09,0,False,5.0,4.340277777777778,-W umask=027,488,1958-01-01T00:00:00,1958-04-01T00:00:00,,90.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/output488,236.945,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/restart488,49.467,Andrew Kiss,,,normal,44166.67,,,,,,4956.160000000149,5088,,,0.129,2034.815233,7025.89,1999.73,"[80, 75]",sectrobin,40,30,,80,2,63664f9973a7032e401fc910d2054937893f9e2b,2020-11-16 17:39:00 +1100,,
,13560828,2020-11-17T02:29:17,0,False,5.0,4.373333333333333,-W umask=027,489,1958-04-01T00:00:00,1958-07-01T00:00:00,,91.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/output489,247.559,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/restart489,50.65,Andrew Kiss,,,normal,44503.04,,,,,,5304.320000000298,5088,,,0.126,2005.325348,7160.09,1976.29,"[80, 75]",sectrobin,40,30,,80,2,37a6d8e0ecfb6a78280f918fe933082a596607c1,2020-11-16 22:07:48 +1100,,
,13564022,2020-11-17T07:02:20,0,False,5.0,4.548055555555556,-W umask=027,490,1958-07-01T00:00:00,1958-10-01T00:00:00,,92.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/output490,265.021,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/restart490,51.873,Andrew Kiss,,,normal,46281.01,,,,,,5304.320000000298,5088,,,0.125,2061.105766,7603.28,2029.71,"[80, 75]",sectrobin,40,30,,80,2,6c12afb6ab30f55d82667d7d738540480406d293,2020-11-17 02:30:15 +1100,,
,13564826,2020-11-17T11:38:27,0,False,5.0,4.598611111111111,-W umask=027,491,1958-10-01T00:00:00,1959-01-01T00:00:00,,92.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/output491,288.07,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/restart491,53.22,Andrew Kiss,,,normal,46795.47,,,,,,5294.0800000000745,5088,,,0.127,2132.159274,7638.56,2101.69,"[80, 75]",sectrobin,40,30,,80,2,11c78f1d74a4225f2ca03c7d9f95c1fde129db83,2020-11-17 07:03:12 +1100,,
,13567749,2020-11-17T16:13:32,0,False,5.0,4.581944444444445,-W umask=027,492,1959-01-01T00:00:00,1959-04-01T00:00:00,,90.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/output492,299.724,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/restart492,54.198,Andrew Kiss,,,normal,46625.87,,,,,,5294.0800000000745,5088,,,0.144,2395.432295,7689.27,2353.79,"[80, 75]",sectrobin,40,30,,80,2,55e79ac4c68a24d89051166810101c0f00e2be4c,2020-11-17 11:39:19 +1100,,
,13575182,2020-11-17T20:56:07,0,False,5.0,4.65,-W umask=027,493,1959-04-01T00:00:00,1959-07-01T00:00:00,,91.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/output493,316.159,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/restart493,55.049,Andrew Kiss,,,normal,47318.4,,,,,,5335.040000000037,5088,,,0.143,2410.551954,7743.21,2377.61,"[80, 75]",sectrobin,40,30,,80,2,511905b5c69f7a1cd28ca5f0c46f2c1c83e5ea77,2020-11-17 16:28:57 +1100,,
,13579796,2020-11-18T01:39:54,0,False,5.0,4.713888888888889,-W umask=027,494,1959-07-01T00:00:00,1959-10-01T00:00:00,,92.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/output494,337.686,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/restart494,55.767,Andrew Kiss,,,normal,47968.53,,,,,,5335.040000000037,5088,,,0.122,2095.133387,8110.28,2063.31,"[80, 75]",sectrobin,40,30,,80,2,6a2cae57a14c28f21ac62bca5d8f7e99f00df8ed,2020-11-17 20:57:44 +1100,,
,13585312,2020-11-18T06:34:24,0,False,5.0,4.885,-W umask=027,495,1959-10-01T00:00:00,1960-01-01T00:00:00,,92.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/output495,362.354,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/restart495,56.363,Andrew Kiss,,,normal,49709.76,,,,,,5335.040000000037,5088,,,0.154,2723.063132,8064.52,2146.65,"[80, 75]",sectrobin,40,30,,80,2,e803e11de19387e9a84d59af89f08ab2c40ef944,2020-11-18 01:42:06 +1100,,
