,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,accessom2.nml -> accessom2_nml -> ice_ocean_timestep,accessom2.nml -> date_manager_nml -> forcing_end_date,ice/cice_in.nml -> icefields_nml -> f_aicen,ice/cice_in.nml -> icefields_nml -> f_vicen,ice/cice_in.nml -> setup_nml -> istep0,ice/cice_in.nml -> setup_nml -> restart,ice/cice_in.nml -> setup_nml -> runtype
,0,1958-01-01T00:00:00,1958-04-01T00:00:00,"[0, 3, 0, 0]",90.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output000,74.488,,,Andrew Kiss,2020-06-09T16:56:29,6707575,0,[],normal,48640.32,4.691388888888889,197398.632,19.039219907407407,,,,3358.7199999997392,5184,4358,799,0.049,866.898735,5720.38,807.02,"[80, 75]",sectrobin,40,30,300,80,2,8f572f01e65aa3601f2a3c6ac18950728ba512ff,2020-06-09 12:15:19 +1000,,,300,2018-01-01T00:00:00,m,m,0,False,initial
,1,1958-04-01T00:00:00,1958-07-01T00:00:00,"[0, 3, 0, 0]",91.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output001,77.345,,,Andrew Kiss,2020-06-09T21:46:41,6721125,0,[],normal,49654.08,4.789166666666667,199298.38153846154,19.22245192307692,0.04750000000000032,246388.26740179188,1.236278315457583,3676.160000000149,5184,4358,799,0.054,970.681116,5583.12,886.95,"[80, 75]",sectrobin,40,30,300,80,2,4a3796cf121dcfc80861e64beb3add45b9ee482e,2020-06-09 21:24:23 +1000,"accessom2.nml, manifests/input.yaml, manifests/restart.yaml","['2020-06-09 16:59:50: Run 1', 'increase timestep from 300 to 400s']",300,2018-01-01T00:00:00,m,m,6480,True,continue
,2,1958-07-01T00:00:00,1958-10-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output002,78.682,,,Andrew Kiss,2020-06-10T01:34:24,6733796,0,[],normal,38859.84,3.7480555555555557,154277.78869565218,14.880187952898552,0.047222222222222054,245735.9420332284,1.5928147798254884,3665.9199999999255,5184,4358,799,0.066,923.287049,4248.24,873.7,"[80, 75]",sectrobin,40,30,400,80,2,a4fbd6c1f73c92df5fd817a6a2376648c22e7877,2020-06-09 21:49:54 +1000,manifests/restart.yaml,['2020-06-09 21:49:54: Run 2'],400,2018-01-01T00:00:00,m,m,12960,True,continue
,3,1958-10-01T00:00:00,1959-01-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output003,79.524,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/restart003,43.452,Andrew Kiss,2020-06-10T05:19:17,6744870,0,[],normal,38819.52,3.7441666666666666,154117.71391304347,14.864748641304349,0.0038888888888890527,248573.81812791812,1.6128828530909096,3717.1200000001118,5184,4358,799,0.07,983.706246,4074.23,942.07,"[80, 75]",sectrobin,40,30,400,80,2,60635f95197aada27b938e5a588962d8b6789fd3,2020-06-10 01:35:03 +1000,manifests/restart.yaml,['2020-06-10 01:35:03: Run 3'],400,2018-01-01T00:00:00,m,m,19440,True,continue
,4,1959-01-01T00:00:00,1959-04-01T00:00:00,"[0, 3, 0, 0]",90.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output004,78.804,,,Andrew Kiss,2020-06-10T08:57:56,6751476,0,[],normal,37739.52,3.64,153159.552,14.772333333333334,0.00416666666666643,248547.49050994738,1.6228011068480233,3645.44000000041,5184,4358,799,0.07,954.151897,4136.1,909.08,"[80, 75]",sectrobin,40,30,400,80,2,11ee7048760dd81057e320a4a49b2e8b10ba1c98,2020-06-10 08:42:19 +1000,"accessom2.nml, manifests/restart.yaml","['2020-06-10 05:19:55: Run 4', 'increase timestep from 400 to 540s']",400,2018-01-01T00:00:00,m,m,25920,True,continue
,5,1959-04-01T00:00:00,1959-07-01T00:00:00,"[0, 3, 0, 0]",91.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output005,78.89,,,Andrew Kiss,2020-06-10T11:47:17,6757595,0,[],normal,29226.24,2.818888888888889,117306.41934065934,11.314276556776557,0.0036111111111107874,248513.6439326838,2.1184999536214386,3706.8799999998882,5184,4358,799,0.085,886.806238,3048.04,871.24,"[80, 75]",sectrobin,40,30,540,80,2,f2ec4bc65469ce4bd6bde4236bc50c137b0770a0,2020-06-10 08:58:43 +1000,manifests/restart.yaml,['2020-06-10 08:58:43: Run 5'],540,2018-01-01T00:00:00,m,m,32400,True,continue
,6,1959-07-01T00:00:00,1959-10-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output006,79.237,,,Andrew Kiss,2020-06-10T14:41:29,6764474,0,[],normal,30049.92,2.8983333333333334,119301.44869565217,11.50669836956522,0.004999999999999893,248403.47187141213,2.0821496686524728,3676.160000000149,5184,4358,799,0.089,945.372682,3108.69,930.23,"[80, 75]",sectrobin,40,30,540,80,2,14a55b1481c280838b71668281cf61e9582e62ef,2020-06-10 11:48:03 +1000,manifests/restart.yaml,['2020-06-10 11:48:03: Run 6'],540,2018-01-01T00:00:00,m,m,38880,True,continue
,7,1959-10-01T00:00:00,1960-01-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output007,79.668,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/restart007,43.506,Andrew Kiss,2020-06-10T17:37:23,6774562,0,[],normal,30355.2,2.9277777777777776,120513.44347826089,11.623596014492755,0.0038888888888890527,248501.92154633318,2.0620265621333758,3737.5999999996275,5184,4358,799,0.09,959.374557,3029.64,943.32,"[80, 75]",sectrobin,40,30,540,80,2,c2bc9f8a2b4772e704b96ffabf448d2a0dcf52e0,2020-06-10 14:42:28 +1000,manifests/restart.yaml,['2020-06-10 14:42:28: Run 7'],540,2018-01-01T00:00:00,m,m,45360,True,continue
,8,1960-01-01T00:00:00,1960-04-01T00:00:00,"[0, 3, 0, 0]",91.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output008,79.113,,,Andrew Kiss,2020-06-10T22:49:53,6791929,0,[],normal,29352.96,2.831111111111111,117815.04,11.363333333333332,2.377222222222222,135258.43968,1.1480574948665299,3717.1200000001118,5184,4358,799,0.087,909.199341,3143.01,891.09,"[80, 75]",sectrobin,40,30,540,80,2,eaf3c86a3fa98343e73d4c16e216957ad636f329,2020-06-10 20:00:40 +1000,manifests/restart.yaml,['2020-06-10 20:00:40: Run 8'],540,2018-01-01T00:00:00,m,m,51840,True,continue
,9,1960-04-01T00:00:00,1960-07-01T00:00:00,"[0, 3, 0, 0]",91.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output009,78.898,,,Andrew Kiss,2020-06-11T01:40:16,6800263,0,[],normal,29410.56,2.8366666666666664,118046.23120879121,11.385631868131867,0.003055555555555589,248564.25550229877,2.1056517684385634,3706.8799999998882,5184,4358,799,0.088,928.377864,2977.19,917.61,"[80, 75]",sectrobin,40,30,540,80,2,934f310bf29e9caab68cb8d0df6364d8bbfbc956,2020-06-10 22:50:33 +1000,manifests/restart.yaml,['2020-06-10 22:50:33: Run 9'],540,2018-01-01T00:00:00,m,m,58320,True,continue
