,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages
,487,2018-10-01T00:00:00,2019-01-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle2,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle2/output487,153.364,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle2/restart487,43.751,Andrew Kiss,2020-10-19T15:26:05,12559941,275,"[10209358, 10249624, 10264463, 10280609, 10292142, 10296910, 10300409, 10303477, 10305615, 10307003, 10308508, 10312927, 10319190, 10324205, 10327583, 10330634, 10333541, 10335497, 10336759, 10338118, 10340093, 10342999, 10346041, 10347811, 10350426, 10351580, 10352450, 10353601, 10355197, 10356802, 10361261, 10361340, 10364230, 10366689, 10368036, 10369072, 10369888, 10371030, 10374571, 10378091, 10383536, 10386853, 10391876, 10394961, 10396683, 10398925, 10402188, 10407397, 10418935, 10440110, 10452070, 10461525, 10463592, 10465259, 10474015, 10474139, 10474228, 10475047, 10479967, 10480237, 10480273, 10482299, 10482484, 10482720, 10482721, 10482773, 10482820, 10482896, 10483079, 10508376, 10512266, 10516562, 10524043, 10536197, 10538355, 10542428, 10546889, 10551542, 10555875, 10559796, 10567655, 10571401, 10575204, 10583216, 10586682, 10590353, 10620513, 10626955, 10629070, 10631222, 10633054, 10634919, 10642675, 10650428, 10654950, 10659663, 10663743, 10668363, 10673440, 10677405, 10683116, 10695469, 10704872, 10723169, 10726983, 10730792, 10732920, 10735523, 10744742, 10761703, 10768956, 10782132, 10788113, 10792244, 10795056, 10797184, 10809049, 10819237, 10834488, 10845126, 10848518, 10851140, 10853492, 10856807, 10866058, 10869075, 10876375, 10881847, 10892267, 10893293, 10893672, 10894034, 10897190, 10902056, 10906707, 10910487, 10912661, 10914968, 10916009, 10916471, 10917042, 10918027, 10920730, 10933345, 10947278, 10949093, 10952549, 10957025, 10960438, 10960642, 10965400, 10972126, 10975790, 10985357, 10994957, 11076931, 11087888, 11090183, 11092089, 11093462, 11096834, 11101634, 11109136, 11116144, 11124907, 11125293, 11130748, 11132484, 11134336, 11138347, 11140701, 11149357, 11154245, 11157645, 11160900, 11164347, 11166268, 11169128, 11174918, 11177579, 11180974, 11180990, 11181500, 11183786, 11187623, 11189210, 11190542, 11192225, 11195803, 11200773, 11206496, 11210252, 11214701, 11216920, 11218982, 11224035, 11234234, 11243507, 11251129, 11255955, 11259871, 11262206, 11264068, 11269019, 11275103, 11280521, 11320678, 11333050, 11335300, 11337208, 11341618, 11358009, 11373246, 11379766, 11384745, 11392737, 11395214, 11398097, 11403444, 11411856, 11425726, 11426186, 11437489, 11444541, 11445665, 11446426, 11453568, 11463299, 11471688, 11479998, 11484969, 11488756, 11492551, 11496083, 11498435, 11500926, 11502657, 11504149, 11507523, 11509835, 11511709, 11515212, 11515555, 11519104, 11521955, 11523762, 11526637, 11529147, 11531484, 11537862, 11544332, 11551179, 11554802, 11558663, 11561676, 11564398, 12458116, 12464361, 12468873, 12473068, 12479889, 12484907, 12491124, 12497315, 12502986, 12510478, 12514602, 12518006, 12522680, 12528644, 12533479, 12537737, 12543386, 12548789, 12551742]",normal,35616.96,3.435277777777778,141403.20260869566,13.638426177536234,,,,3655.679999999702,5184,4358,799,0.255,3166.499303,2789.34,3200.03,"[80, 75]",sectrobin,40,30,540,80,2,dbbefac4ac1a9502597c6420610abb812b76cc0f,2020-10-19 12:00:03 +1100,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages
Total,487,,,,92.0,,,153.364,,43.751,,,12559941,275,,,35616.96,3.435277777777778,141403.20260869566,13.638426177536234,0,0,0,3655.679999999702,5184,4358,799,0.255,3166.499303,2789.34,3200.03,,,40,30,540,80,2,,,,0
Mean,487.0,,,0.75,92.0,,,153.364,,43.751,,,12559941.0,275.0,10992608.923636364,,35616.96,3.435277777777778,141403.20260869566,13.638426177536234,nan,nan,nan,3655.679999999702,5184.0,4358.0,799.0,0.255,3166.499303,2789.34,3200.03,77.5,,40.0,30.0,540.0,80.0,2.0,,,,nan
Median,487.0,,,0.0,92.0,,,153.364,,43.751,,,12559941.0,275.0,10914968.0,,35616.96,3.435277777777778,141403.20260869566,13.638426177536234,nan,nan,nan,3655.679999999702,5184.0,4358.0,799.0,0.255,3166.499303,2789.34,3200.03,77.5,,40.0,30.0,540.0,80.0,2.0,,,,nan
Min,487,2018-10-01T00:00:00,2019-01-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle2,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle2/output487,153.364,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle2/restart487,43.751,Andrew Kiss,2020-10-19T15:26:05,12559941,275,"[10209358, 10249624, 10264463, 10280609, 10292142, 10296910, 10300409, 10303477, 10305615, 10307003, 10308508, 10312927, 10319190, 10324205, 10327583, 10330634, 10333541, 10335497, 10336759, 10338118, 10340093, 10342999, 10346041, 10347811, 10350426, 10351580, 10352450, 10353601, 10355197, 10356802, 10361261, 10361340, 10364230, 10366689, 10368036, 10369072, 10369888, 10371030, 10374571, 10378091, 10383536, 10386853, 10391876, 10394961, 10396683, 10398925, 10402188, 10407397, 10418935, 10440110, 10452070, 10461525, 10463592, 10465259, 10474015, 10474139, 10474228, 10475047, 10479967, 10480237, 10480273, 10482299, 10482484, 10482720, 10482721, 10482773, 10482820, 10482896, 10483079, 10508376, 10512266, 10516562, 10524043, 10536197, 10538355, 10542428, 10546889, 10551542, 10555875, 10559796, 10567655, 10571401, 10575204, 10583216, 10586682, 10590353, 10620513, 10626955, 10629070, 10631222, 10633054, 10634919, 10642675, 10650428, 10654950, 10659663, 10663743, 10668363, 10673440, 10677405, 10683116, 10695469, 10704872, 10723169, 10726983, 10730792, 10732920, 10735523, 10744742, 10761703, 10768956, 10782132, 10788113, 10792244, 10795056, 10797184, 10809049, 10819237, 10834488, 10845126, 10848518, 10851140, 10853492, 10856807, 10866058, 10869075, 10876375, 10881847, 10892267, 10893293, 10893672, 10894034, 10897190, 10902056, 10906707, 10910487, 10912661, 10914968, 10916009, 10916471, 10917042, 10918027, 10920730, 10933345, 10947278, 10949093, 10952549, 10957025, 10960438, 10960642, 10965400, 10972126, 10975790, 10985357, 10994957, 11076931, 11087888, 11090183, 11092089, 11093462, 11096834, 11101634, 11109136, 11116144, 11124907, 11125293, 11130748, 11132484, 11134336, 11138347, 11140701, 11149357, 11154245, 11157645, 11160900, 11164347, 11166268, 11169128, 11174918, 11177579, 11180974, 11180990, 11181500, 11183786, 11187623, 11189210, 11190542, 11192225, 11195803, 11200773, 11206496, 11210252, 11214701, 11216920, 11218982, 11224035, 11234234, 11243507, 11251129, 11255955, 11259871, 11262206, 11264068, 11269019, 11275103, 11280521, 11320678, 11333050, 11335300, 11337208, 11341618, 11358009, 11373246, 11379766, 11384745, 11392737, 11395214, 11398097, 11403444, 11411856, 11425726, 11426186, 11437489, 11444541, 11445665, 11446426, 11453568, 11463299, 11471688, 11479998, 11484969, 11488756, 11492551, 11496083, 11498435, 11500926, 11502657, 11504149, 11507523, 11509835, 11511709, 11515212, 11515555, 11519104, 11521955, 11523762, 11526637, 11529147, 11531484, 11537862, 11544332, 11551179, 11554802, 11558663, 11561676, 11564398, 12458116, 12464361, 12468873, 12473068, 12479889, 12484907, 12491124, 12497315, 12502986, 12510478, 12514602, 12518006, 12522680, 12528644, 12533479, 12537737, 12543386, 12548789, 12551742]",normal,35616.96,3.435277777777778,141403.20260869566,13.638426177536234,,,,3655.679999999702,5184,4358,799,0.255,3166.499303,2789.34,3200.03,"[80, 75]",sectrobin,40,30,540,80,2,dbbefac4ac1a9502597c6420610abb812b76cc0f,2020-10-19 12:00:03 +1100,,
Max,487,2018-10-01T00:00:00,2019-01-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle2,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle2/output487,153.364,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle2/restart487,43.751,Andrew Kiss,2020-10-19T15:26:05,12559941,275,"[10209358, 10249624, 10264463, 10280609, 10292142, 10296910, 10300409, 10303477, 10305615, 10307003, 10308508, 10312927, 10319190, 10324205, 10327583, 10330634, 10333541, 10335497, 10336759, 10338118, 10340093, 10342999, 10346041, 10347811, 10350426, 10351580, 10352450, 10353601, 10355197, 10356802, 10361261, 10361340, 10364230, 10366689, 10368036, 10369072, 10369888, 10371030, 10374571, 10378091, 10383536, 10386853, 10391876, 10394961, 10396683, 10398925, 10402188, 10407397, 10418935, 10440110, 10452070, 10461525, 10463592, 10465259, 10474015, 10474139, 10474228, 10475047, 10479967, 10480237, 10480273, 10482299, 10482484, 10482720, 10482721, 10482773, 10482820, 10482896, 10483079, 10508376, 10512266, 10516562, 10524043, 10536197, 10538355, 10542428, 10546889, 10551542, 10555875, 10559796, 10567655, 10571401, 10575204, 10583216, 10586682, 10590353, 10620513, 10626955, 10629070, 10631222, 10633054, 10634919, 10642675, 10650428, 10654950, 10659663, 10663743, 10668363, 10673440, 10677405, 10683116, 10695469, 10704872, 10723169, 10726983, 10730792, 10732920, 10735523, 10744742, 10761703, 10768956, 10782132, 10788113, 10792244, 10795056, 10797184, 10809049, 10819237, 10834488, 10845126, 10848518, 10851140, 10853492, 10856807, 10866058, 10869075, 10876375, 10881847, 10892267, 10893293, 10893672, 10894034, 10897190, 10902056, 10906707, 10910487, 10912661, 10914968, 10916009, 10916471, 10917042, 10918027, 10920730, 10933345, 10947278, 10949093, 10952549, 10957025, 10960438, 10960642, 10965400, 10972126, 10975790, 10985357, 10994957, 11076931, 11087888, 11090183, 11092089, 11093462, 11096834, 11101634, 11109136, 11116144, 11124907, 11125293, 11130748, 11132484, 11134336, 11138347, 11140701, 11149357, 11154245, 11157645, 11160900, 11164347, 11166268, 11169128, 11174918, 11177579, 11180974, 11180990, 11181500, 11183786, 11187623, 11189210, 11190542, 11192225, 11195803, 11200773, 11206496, 11210252, 11214701, 11216920, 11218982, 11224035, 11234234, 11243507, 11251129, 11255955, 11259871, 11262206, 11264068, 11269019, 11275103, 11280521, 11320678, 11333050, 11335300, 11337208, 11341618, 11358009, 11373246, 11379766, 11384745, 11392737, 11395214, 11398097, 11403444, 11411856, 11425726, 11426186, 11437489, 11444541, 11445665, 11446426, 11453568, 11463299, 11471688, 11479998, 11484969, 11488756, 11492551, 11496083, 11498435, 11500926, 11502657, 11504149, 11507523, 11509835, 11511709, 11515212, 11515555, 11519104, 11521955, 11523762, 11526637, 11529147, 11531484, 11537862, 11544332, 11551179, 11554802, 11558663, 11561676, 11564398, 12458116, 12464361, 12468873, 12473068, 12479889, 12484907, 12491124, 12497315, 12502986, 12510478, 12514602, 12518006, 12522680, 12528644, 12533479, 12537737, 12543386, 12548789, 12551742]",normal,35616.96,3.435277777777778,141403.20260869566,13.638426177536234,,,,3655.679999999702,5184,4358,799,0.255,3166.499303,2789.34,3200.03,"[80, 75]",sectrobin,40,30,540,80,2,dbbefac4ac1a9502597c6420610abb812b76cc0f,2020-10-19 12:00:03 +1100,,
Std dev,0.0,,,1.299038105676658,0.0,,,0.0,,0.0,,,0.0,0.0,569825.2127175439,,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,,0.0,0.0,0.0,0.0,0.0,,,,nan
