,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages
,991,2018-10-01T00:00:00,2019-01-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle4,/scratch/v45/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle4/output991,183.01,/g/data/ik11/restarts/access-om2-01/01deg_jra55v140_iaf_cycle4/restart991,70.738,Andrew Kiss,2022-04-27T06:47:06,39114067,359,"[31355840, 31377461, 31386601, 31671617, 31684849, 31689037, 31689499, 31691160, 31800617, 31802775, 31815828, 31833991, 31895394, 31951127, 31968155, 31975360, 31980269, 31984929, 31988175, 31990661, 31992727, 31994350, 31995762, 31997183, 31998270, 31999435, 32000095, 32001290, 32002536, 32003772, 32004798, 32005886, 32009151, 32012562, 32015426, 32020327, 32022025, 32023774, 32029754, 32038893, 32045250, 32052615, 32053182, 32057816, 32061170, 32063388, 32066423, 32070449, 32075323, 32080691, 32085256, 32089133, 32093785, 32098892, 32104669, 32106491, 32110015, 32116217, 32120469, 32125538, 32137146, 32144700, 32151483, 32159326, 32164897, 32168887, 32181053, 32201304, 32208412, 32218832, 32225640, 32233943, 32238912, 32242504, 32246351, 32249955, 32254805, 32259662, 32262478, 32277241, 32288198, 32307720, 32331605, 32343401, 32351159, 32359472, 32364547, 32370931, 32375458, 32379710, 32383195, 32386067, 32389810, 32397606, 32405509, 32414720, 32423425, 32427719, 32434474, 32440471, 32451140, 32455720, 32459743, 32467345, 32471479, 32477139, 32484311, 32489143, 32492824, 32497394, 32500075, 32501944, 32506277, 32509277, 32511040, 32511103, 32511362, 32511500, 32511598, 32511873, 32512179, 32516497, 32521201, 32528210, 32616913, 32620000, 32624661, 32637716, 32647532, 32654232, 32658506, 32662013, 32665153, 32667603, 32670631, 32673252, 32674898, 32679126, 32681279, 32683930, 32686962, 32689974, 32690891, 32693057, 32699244, 32704916, 32710362, 32712423, 32714198, 32716047, 32718076, 32719550, 32722814, 32735687, 32743548, 32757531, 32761704, 32763062, 32766636, 32769267, 32772270, 32776604, 32798835, 32805376, 32811219, 32816414, 32820095, 32822679, 32828636, 32838033, 32853628, 32864710, 32867621, 32872154, 32881899, 32889750, 32897054, 32902105, 32906306, 32913031, 32918704, 32924049, 32929449, 36190100, 36213107, 36220154, 36221455, 36228909, 36238671, 36245774, 36250458, 36254850, 36258971, 36262114, 36264487, 36266862, 36270701, 36273924, 36276092, 36278749, 36282446, 36289627, 36290766, 36293220, 36296115, 36298791, 36302153, 36304006, 36305716, 36306950, 36308441, 36309212, 36310788, 36318282, 36325025, 36330452, 36335493, 36345776, 36350824, 36352922, 36354120, 36356215, 36359873, 36365361, 36377830, 36387228, 36395990, 36401963, 36404022, 36405601, 36407420, 36410697, 36415210, 36421499, 36427274, 36470243, 36481238, 36491103, 36496758, 36498620, 36499931, 36502095, 36510250, 36519480, 36529705, 36544869, 36559233, 36577540, 36581024, 36585283, 36587255, 36592133, 36596875, 36615756, 36618901, 36621330, 36624955, 36632457, 36637263, 36640763, 36643492, 36645868, 36648251, 36650533, 36655248, 36681613, 36691274, 36697633, 36705106, 36714514, 36720174, 36726981, 36730757, 36733837, 36736299, 36743196, 36753993, 36761648, 36769048, 36773757, 36780437, 36783616, 36786237, 36801288, 36812840, 36819882, 36848439, 36860854, 36863885, 36869262, 36900836, 36910131, 36914791, 36918168, 36920455, 36922020, 36923964, 36925134, 36927054, 36930346, 36934800, 36944049, 36949664, 36952014, 36956349, 36961474, 36969226, 36977014, 36997337, 37006261, 37018477, 37026503, 37035535, 37053109, 37062284, 37073930, 37081026, 37086885, 37096116, 37100539, 37107250, 37506979, 37566420, 37604507, 37620575, 37628285, 37640627, 37646820, 37651710, 37656537, 37664430, 37672182, 37684598, 37692574, 37702102, 37707587, 37710332, 38218659, 38219928, 38231815, 38244923, 38251099, 38265723, 38284360, 38295903, 38305753, 38313030, 38322256, 38327391, 38331982, 38338608, 38344384, 39039010, 39047901, 39059610, 39073629, 39082987, 39095564, 39104207]",normal,57238.72,2.3566666666666665,227243.94000000003,9.356222826086956,,,,14786.55999999959,12144,10461,1682,0.043,365.536584,3990.89,394.85,"[150, 100]",sectrobin,18,15,540,80,2,c393fd01a6189cf87cf6ec9de4a43e6aef456b79,2022-04-27 04:26:41 +1000,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages
Total,991,,,,92.0,,,183.01,,70.738,,,39114067,359,,,57238.72,2.3566666666666665,227243.94000000003,9.356222826086956,0,0,0,14786.55999999959,12144,10461,1682,0.043,365.536584,3990.89,394.85,,,18,15,540,80,2,,,,0
Mean,991.0,,,0.75,92.0,,,183.01,,70.738,,,39114067.0,359.0,34605350.10027855,,57238.72,2.3566666666666665,227243.94000000003,9.356222826086956,nan,nan,nan,14786.55999999959,12144.0,10461.0,1682.0,0.043,365.536584,3990.89,394.85,125.0,,18.0,15.0,540.0,80.0,2.0,,,,nan
Median,991.0,,,0.0,92.0,,,183.01,,70.738,,,39114067.0,359.0,32913031.0,,57238.72,2.3566666666666665,227243.94000000003,9.356222826086956,nan,nan,nan,14786.55999999959,12144.0,10461.0,1682.0,0.043,365.536584,3990.89,394.85,125.0,,18.0,15.0,540.0,80.0,2.0,,,,nan
Min,991,2018-10-01T00:00:00,2019-01-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle4,/scratch/v45/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle4/output991,183.01,/g/data/ik11/restarts/access-om2-01/01deg_jra55v140_iaf_cycle4/restart991,70.738,Andrew Kiss,2022-04-27T06:47:06,39114067,359,"[31355840, 31377461, 31386601, 31671617, 31684849, 31689037, 31689499, 31691160, 31800617, 31802775, 31815828, 31833991, 31895394, 31951127, 31968155, 31975360, 31980269, 31984929, 31988175, 31990661, 31992727, 31994350, 31995762, 31997183, 31998270, 31999435, 32000095, 32001290, 32002536, 32003772, 32004798, 32005886, 32009151, 32012562, 32015426, 32020327, 32022025, 32023774, 32029754, 32038893, 32045250, 32052615, 32053182, 32057816, 32061170, 32063388, 32066423, 32070449, 32075323, 32080691, 32085256, 32089133, 32093785, 32098892, 32104669, 32106491, 32110015, 32116217, 32120469, 32125538, 32137146, 32144700, 32151483, 32159326, 32164897, 32168887, 32181053, 32201304, 32208412, 32218832, 32225640, 32233943, 32238912, 32242504, 32246351, 32249955, 32254805, 32259662, 32262478, 32277241, 32288198, 32307720, 32331605, 32343401, 32351159, 32359472, 32364547, 32370931, 32375458, 32379710, 32383195, 32386067, 32389810, 32397606, 32405509, 32414720, 32423425, 32427719, 32434474, 32440471, 32451140, 32455720, 32459743, 32467345, 32471479, 32477139, 32484311, 32489143, 32492824, 32497394, 32500075, 32501944, 32506277, 32509277, 32511040, 32511103, 32511362, 32511500, 32511598, 32511873, 32512179, 32516497, 32521201, 32528210, 32616913, 32620000, 32624661, 32637716, 32647532, 32654232, 32658506, 32662013, 32665153, 32667603, 32670631, 32673252, 32674898, 32679126, 32681279, 32683930, 32686962, 32689974, 32690891, 32693057, 32699244, 32704916, 32710362, 32712423, 32714198, 32716047, 32718076, 32719550, 32722814, 32735687, 32743548, 32757531, 32761704, 32763062, 32766636, 32769267, 32772270, 32776604, 32798835, 32805376, 32811219, 32816414, 32820095, 32822679, 32828636, 32838033, 32853628, 32864710, 32867621, 32872154, 32881899, 32889750, 32897054, 32902105, 32906306, 32913031, 32918704, 32924049, 32929449, 36190100, 36213107, 36220154, 36221455, 36228909, 36238671, 36245774, 36250458, 36254850, 36258971, 36262114, 36264487, 36266862, 36270701, 36273924, 36276092, 36278749, 36282446, 36289627, 36290766, 36293220, 36296115, 36298791, 36302153, 36304006, 36305716, 36306950, 36308441, 36309212, 36310788, 36318282, 36325025, 36330452, 36335493, 36345776, 36350824, 36352922, 36354120, 36356215, 36359873, 36365361, 36377830, 36387228, 36395990, 36401963, 36404022, 36405601, 36407420, 36410697, 36415210, 36421499, 36427274, 36470243, 36481238, 36491103, 36496758, 36498620, 36499931, 36502095, 36510250, 36519480, 36529705, 36544869, 36559233, 36577540, 36581024, 36585283, 36587255, 36592133, 36596875, 36615756, 36618901, 36621330, 36624955, 36632457, 36637263, 36640763, 36643492, 36645868, 36648251, 36650533, 36655248, 36681613, 36691274, 36697633, 36705106, 36714514, 36720174, 36726981, 36730757, 36733837, 36736299, 36743196, 36753993, 36761648, 36769048, 36773757, 36780437, 36783616, 36786237, 36801288, 36812840, 36819882, 36848439, 36860854, 36863885, 36869262, 36900836, 36910131, 36914791, 36918168, 36920455, 36922020, 36923964, 36925134, 36927054, 36930346, 36934800, 36944049, 36949664, 36952014, 36956349, 36961474, 36969226, 36977014, 36997337, 37006261, 37018477, 37026503, 37035535, 37053109, 37062284, 37073930, 37081026, 37086885, 37096116, 37100539, 37107250, 37506979, 37566420, 37604507, 37620575, 37628285, 37640627, 37646820, 37651710, 37656537, 37664430, 37672182, 37684598, 37692574, 37702102, 37707587, 37710332, 38218659, 38219928, 38231815, 38244923, 38251099, 38265723, 38284360, 38295903, 38305753, 38313030, 38322256, 38327391, 38331982, 38338608, 38344384, 39039010, 39047901, 39059610, 39073629, 39082987, 39095564, 39104207]",normal,57238.72,2.3566666666666665,227243.94000000003,9.356222826086956,,,,14786.55999999959,12144,10461,1682,0.043,365.536584,3990.89,394.85,"[150, 100]",sectrobin,18,15,540,80,2,c393fd01a6189cf87cf6ec9de4a43e6aef456b79,2022-04-27 04:26:41 +1000,,
Max,991,2018-10-01T00:00:00,2019-01-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle4,/scratch/v45/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle4/output991,183.01,/g/data/ik11/restarts/access-om2-01/01deg_jra55v140_iaf_cycle4/restart991,70.738,Andrew Kiss,2022-04-27T06:47:06,39114067,359,"[31355840, 31377461, 31386601, 31671617, 31684849, 31689037, 31689499, 31691160, 31800617, 31802775, 31815828, 31833991, 31895394, 31951127, 31968155, 31975360, 31980269, 31984929, 31988175, 31990661, 31992727, 31994350, 31995762, 31997183, 31998270, 31999435, 32000095, 32001290, 32002536, 32003772, 32004798, 32005886, 32009151, 32012562, 32015426, 32020327, 32022025, 32023774, 32029754, 32038893, 32045250, 32052615, 32053182, 32057816, 32061170, 32063388, 32066423, 32070449, 32075323, 32080691, 32085256, 32089133, 32093785, 32098892, 32104669, 32106491, 32110015, 32116217, 32120469, 32125538, 32137146, 32144700, 32151483, 32159326, 32164897, 32168887, 32181053, 32201304, 32208412, 32218832, 32225640, 32233943, 32238912, 32242504, 32246351, 32249955, 32254805, 32259662, 32262478, 32277241, 32288198, 32307720, 32331605, 32343401, 32351159, 32359472, 32364547, 32370931, 32375458, 32379710, 32383195, 32386067, 32389810, 32397606, 32405509, 32414720, 32423425, 32427719, 32434474, 32440471, 32451140, 32455720, 32459743, 32467345, 32471479, 32477139, 32484311, 32489143, 32492824, 32497394, 32500075, 32501944, 32506277, 32509277, 32511040, 32511103, 32511362, 32511500, 32511598, 32511873, 32512179, 32516497, 32521201, 32528210, 32616913, 32620000, 32624661, 32637716, 32647532, 32654232, 32658506, 32662013, 32665153, 32667603, 32670631, 32673252, 32674898, 32679126, 32681279, 32683930, 32686962, 32689974, 32690891, 32693057, 32699244, 32704916, 32710362, 32712423, 32714198, 32716047, 32718076, 32719550, 32722814, 32735687, 32743548, 32757531, 32761704, 32763062, 32766636, 32769267, 32772270, 32776604, 32798835, 32805376, 32811219, 32816414, 32820095, 32822679, 32828636, 32838033, 32853628, 32864710, 32867621, 32872154, 32881899, 32889750, 32897054, 32902105, 32906306, 32913031, 32918704, 32924049, 32929449, 36190100, 36213107, 36220154, 36221455, 36228909, 36238671, 36245774, 36250458, 36254850, 36258971, 36262114, 36264487, 36266862, 36270701, 36273924, 36276092, 36278749, 36282446, 36289627, 36290766, 36293220, 36296115, 36298791, 36302153, 36304006, 36305716, 36306950, 36308441, 36309212, 36310788, 36318282, 36325025, 36330452, 36335493, 36345776, 36350824, 36352922, 36354120, 36356215, 36359873, 36365361, 36377830, 36387228, 36395990, 36401963, 36404022, 36405601, 36407420, 36410697, 36415210, 36421499, 36427274, 36470243, 36481238, 36491103, 36496758, 36498620, 36499931, 36502095, 36510250, 36519480, 36529705, 36544869, 36559233, 36577540, 36581024, 36585283, 36587255, 36592133, 36596875, 36615756, 36618901, 36621330, 36624955, 36632457, 36637263, 36640763, 36643492, 36645868, 36648251, 36650533, 36655248, 36681613, 36691274, 36697633, 36705106, 36714514, 36720174, 36726981, 36730757, 36733837, 36736299, 36743196, 36753993, 36761648, 36769048, 36773757, 36780437, 36783616, 36786237, 36801288, 36812840, 36819882, 36848439, 36860854, 36863885, 36869262, 36900836, 36910131, 36914791, 36918168, 36920455, 36922020, 36923964, 36925134, 36927054, 36930346, 36934800, 36944049, 36949664, 36952014, 36956349, 36961474, 36969226, 36977014, 36997337, 37006261, 37018477, 37026503, 37035535, 37053109, 37062284, 37073930, 37081026, 37086885, 37096116, 37100539, 37107250, 37506979, 37566420, 37604507, 37620575, 37628285, 37640627, 37646820, 37651710, 37656537, 37664430, 37672182, 37684598, 37692574, 37702102, 37707587, 37710332, 38218659, 38219928, 38231815, 38244923, 38251099, 38265723, 38284360, 38295903, 38305753, 38313030, 38322256, 38327391, 38331982, 38338608, 38344384, 39039010, 39047901, 39059610, 39073629, 39082987, 39095564, 39104207]",normal,57238.72,2.3566666666666665,227243.94000000003,9.356222826086956,,,,14786.55999999959,12144,10461,1682,0.043,365.536584,3990.89,394.85,"[150, 100]",sectrobin,18,15,540,80,2,c393fd01a6189cf87cf6ec9de4a43e6aef456b79,2022-04-27 04:26:41 +1000,,
Std dev,0.0,,,1.299038105676658,0.0,,,0.0,,0.0,,,0.0,0.0,2359050.7849757313,,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,,0.0,0.0,0.0,0.0,0.0,,,,nan
SU correlation,nan,,,,nan,,,nan,,nan,,,nan,nan,,,nan,nan,nan,nan,,,,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,,,,
