,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,ice/cice_in.nml -> setup_nml -> istep0
,1011,2023-06-01T00:00:00,2023-07-01T00:00:00,"[0, 1, 0, 0]",30.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle4_jra55v150_extension,/scratch/v45/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle4_jra55v150_extension/output1011,303.952,/g/data/ik11/restarts/access-om2-01/01deg_jra55v140_iaf_cycle4_jra55v150_extension/restart1011,70.644,Andrew Kiss,2023-08-08T15:19:45,92182201,39,"[47503451, 47573114, 47730210, 47754769, 47773739, 47972333, 48011071, 48051852, 48188828, 48599868, 48622618, 48733068, 48742607, 48842018, 48863760, 48922456, 48939414, 48964347, 49008428, 49020248, 49042576, 49641221, 49848571, 49906043, 49929151, 49945975, 49964905, 49974646, 50066075, 50084734, 64599435, 64704356, 76732235, 76739875, 83685099, 83686066, 91054241, 91056060, 92174130]",normal,24470.16,1.0075,297924.19800000003,12.266312500000002,,,,14018.55999999959,12144,10461,1682,0.044,153.102484,1721.36,175.29,"[150, 100]",sectrobin,18,15,540,80,2,89aa2ee46a13ed6cb9de8b2dea8511c38721114d,2023-08-08 14:21:17 +1000,,,6551280
,1012,2023-07-01T00:00:00,2023-08-01T00:00:00,"[0, 1, 0, 0]",31.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle4_jra55v150_extension,/scratch/v45/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle4_jra55v150_extension/output1012,309.985,/g/data/ik11/restarts/access-om2-01/01deg_jra55v140_iaf_cycle4_jra55v150_extension/restart1012,70.625,Andrew Kiss,2023-09-06T13:29:14,94443836,0,[],normal,25171.81,1.0363888888888888,296580.7613709677,12.21100134408602,693.1216666666667,870.2966639442106,0.0029344339798751486,13864.959999999963,12144,10461,1682,0.053,188.644926,1701.71,187.62,"[150, 100]",sectrobin,18,15,540,80,2,47d52e70e5efc5283f7d40b675298978599f465c,2023-09-06 12:29:00 +1000,"atmosphere/forcing.json, config.yaml, manifests/input.yaml, manifests/restart.yaml, qsub_loop.sh, run_summary_home_156_aek156_payu_01deg_jra55v140_iaf_cycle4_jra55v150_extension.csv","['update run summary', 'update run summary', 'use most recent JRA55-do forcing data (20230902)', 'switch to x77', '2023-09-06 12:28:59: Run 1012']",6557760
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,ice/cice_in.nml -> setup_nml -> istep0
Total,2023,,,,61.0,,,613.937,,141.269,,,186626037,39,,,49641.97,2.0438888888888886,594504.9593709677,24.47731384408602,693.1216666666667,870.2966639442106,0.0029344339798751486,27883.519999999553,24288,20922,3364,0.097,341.74741,3423.0699999999997,362.90999999999997,,,36,30,1080,160,4,,,,,13109040
Mean,1011.5,,,0.25,30.5,,,306.9685,,70.6345,,,93313018.5,19.5,"[23751725.5 23786557.  23865105.  23877384.5 23886869.5 23986166.5
 24005535.5 24025926.  24094414.  24299934.  24311309.  24366534.
 24371303.5 24421009.  24431880.  24461228.  24469707.  24482173.5
 24504214.  24510124.  24521288.  24820610.5 24924285.5 24953021.5
 24964575.5 24972987.5 24982452.5 24987323.  25033037.5 25042367.
 32299717.5 32352178.  38366117.5 38369937.5 41842549.5 41843033.
 45527120.5 45528030.  46087065. ]",,24820.985,1.0219444444444443,297252.47968548385,12.23865692204301,693.1216666666667,870.2966639442106,0.0029344339798751486,13941.759999999776,12144.0,10461.0,1682.0,0.0485,170.873705,1711.5349999999999,181.45499999999998,125.0,,18.0,15.0,540.0,80.0,2.0,,,,,6554520.0
Median,1011.5,,,0.0,30.5,,,306.9685,,70.6345,,,93313018.5,19.5,"[23751725.5 23786557.  23865105.  23877384.5 23886869.5 23986166.5
 24005535.5 24025926.  24094414.  24299934.  24311309.  24366534.
 24371303.5 24421009.  24431880.  24461228.  24469707.  24482173.5
 24504214.  24510124.  24521288.  24820610.5 24924285.5 24953021.5
 24964575.5 24972987.5 24982452.5 24987323.  25033037.5 25042367.
 32299717.5 32352178.  38366117.5 38369937.5 41842549.5 41843033.
 45527120.5 45528030.  46087065. ]",,24820.985,1.0219444444444443,297252.47968548385,12.23865692204301,693.1216666666667,870.2966639442106,0.0029344339798751486,13941.759999999776,12144.0,10461.0,1682.0,0.0485,170.873705,1711.5349999999999,181.45499999999998,125.0,,18.0,15.0,540.0,80.0,2.0,,,,,6554520.0
Min,1011,2023-06-01T00:00:00,2023-07-01T00:00:00,"[0, 1, 0, 0]",30.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle4_jra55v150_extension,/scratch/v45/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle4_jra55v150_extension/output1011,303.952,/g/data/ik11/restarts/access-om2-01/01deg_jra55v140_iaf_cycle4_jra55v150_extension/restart1011,70.625,Andrew Kiss,2023-08-08T15:19:45,92182201,0,[],normal,24470.16,1.0075,296580.7613709677,12.21100134408602,693.1216666666667,870.2966639442106,0.0029344339798751486,13864.959999999963,12144,10461,1682,0.044,153.102484,1701.71,175.29,"[150, 100]",sectrobin,18,15,540,80,2,47d52e70e5efc5283f7d40b675298978599f465c,2023-08-08 14:21:17 +1000,,"['update run summary', 'update run summary', 'use most recent JRA55-do forcing data (20230902)', 'switch to x77', '2023-09-06 12:28:59: Run 1012']",6551280
Max,1012,2023-07-01T00:00:00,2023-08-01T00:00:00,"[0, 1, 0, 0]",31.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle4_jra55v150_extension,/scratch/v45/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle4_jra55v150_extension/output1012,309.985,/g/data/ik11/restarts/access-om2-01/01deg_jra55v140_iaf_cycle4_jra55v150_extension/restart1012,70.644,Andrew Kiss,2023-09-06T13:29:14,94443836,39,"[47503451, 47573114, 47730210, 47754769, 47773739, 47972333, 48011071, 48051852, 48188828, 48599868, 48622618, 48733068, 48742607, 48842018, 48863760, 48922456, 48939414, 48964347, 49008428, 49020248, 49042576, 49641221, 49848571, 49906043, 49929151, 49945975, 49964905, 49974646, 50066075, 50084734, 64599435, 64704356, 76732235, 76739875, 83685099, 83686066, 91054241, 91056060, 92174130]",normal,25171.81,1.0363888888888888,297924.19800000003,12.266312500000002,693.1216666666667,870.2966639442106,0.0029344339798751486,14018.55999999959,12144,10461,1682,0.053,188.644926,1721.36,187.62,"[150, 100]",sectrobin,18,15,540,80,2,89aa2ee46a13ed6cb9de8b2dea8511c38721114d,2023-09-06 12:29:00 +1000,"atmosphere/forcing.json, config.yaml, manifests/input.yaml, manifests/restart.yaml, qsub_loop.sh, run_summary_home_156_aek156_payu_01deg_jra55v140_iaf_cycle4_jra55v150_extension.csv","['update run summary', 'update run summary', 'use most recent JRA55-do forcing data (20230902)', 'switch to x77', '2023-09-06 12:28:59: Run 1012']",6557760
Std dev,0.5,,,0.4330127018922193,0.5,,,3.0165000000000077,,0.009500000000002728,,,1130817.5,19.5,,,350.8250000000007,0.014444444444444371,671.7183145161544,0.027655577956990918,0.0,0.0,0.0,76.79999999981374,0.0,0.0,0.0,0.0045000000000000005,17.771220999999997,9.824999999999932,6.165000000000006,25.0,,0.0,0.0,0.0,0.0,0.0,,,,,3240.0
