,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages
,1012,2023-07-01T00:00:00,2023-08-01T00:00:00,"[0, 1, 0, 0]",31.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle4_jra55v150_extension_2023_07_preliminary,/g/data/v45/aek156/outputs/access-om2-01/01deg_jra55v140_iaf_cycle4_jra55v150_extension_2023_07_preliminary/output1012,34.118,/scratch/v45/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle4_jra55v150_extension_2023_07_preliminary/restart1012,70.634,Andrew Kiss,2023-08-16T16:38:35,92665725,0,[],normal,22041.36,0.9075,259696.99161290322,10.692399193548386,,,,13752.320000000298,12144,10461,1682,0.049,155.580687,1216.53,176.01,"[150, 100]",sectrobin,18,15,540,80,2,ac0446d328154370527c2536b6a02e9adb2d44b8,2023-08-16 15:45:27 +1000,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages
Total,1012,,,,31.0,,,34.118,,70.634,,,92665725,0,,,22041.36,0.9075,259696.99161290322,10.692399193548386,0,0,0,13752.320000000298,12144,10461,1682,0.049,155.580687,1216.53,176.01,,,18,15,540,80,2,,,,0
Mean,1012.0,,,0.25,31.0,,,34.118,,70.634,,,92665725.0,0.0,nan,,22041.36,0.9075,259696.99161290322,10.692399193548386,nan,nan,nan,13752.320000000298,12144.0,10461.0,1682.0,0.049,155.580687,1216.53,176.01,125.0,,18.0,15.0,540.0,80.0,2.0,,,,nan
Median,1012.0,,,0.0,31.0,,,34.118,,70.634,,,92665725.0,0.0,nan,,22041.36,0.9075,259696.99161290322,10.692399193548386,nan,nan,nan,13752.320000000298,12144.0,10461.0,1682.0,0.049,155.580687,1216.53,176.01,125.0,,18.0,15.0,540.0,80.0,2.0,,,,nan
Min,1012,2023-07-01T00:00:00,2023-08-01T00:00:00,"[0, 1, 0, 0]",31.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle4_jra55v150_extension_2023_07_preliminary,/g/data/v45/aek156/outputs/access-om2-01/01deg_jra55v140_iaf_cycle4_jra55v150_extension_2023_07_preliminary/output1012,34.118,/scratch/v45/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle4_jra55v150_extension_2023_07_preliminary/restart1012,70.634,Andrew Kiss,2023-08-16T16:38:35,92665725,0,[],normal,22041.36,0.9075,259696.99161290322,10.692399193548386,,,,13752.320000000298,12144,10461,1682,0.049,155.580687,1216.53,176.01,"[150, 100]",sectrobin,18,15,540,80,2,ac0446d328154370527c2536b6a02e9adb2d44b8,2023-08-16 15:45:27 +1000,,
Max,1012,2023-07-01T00:00:00,2023-08-01T00:00:00,"[0, 1, 0, 0]",31.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle4_jra55v150_extension_2023_07_preliminary,/g/data/v45/aek156/outputs/access-om2-01/01deg_jra55v140_iaf_cycle4_jra55v150_extension_2023_07_preliminary/output1012,34.118,/scratch/v45/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle4_jra55v150_extension_2023_07_preliminary/restart1012,70.634,Andrew Kiss,2023-08-16T16:38:35,92665725,0,[],normal,22041.36,0.9075,259696.99161290322,10.692399193548386,,,,13752.320000000298,12144,10461,1682,0.049,155.580687,1216.53,176.01,"[150, 100]",sectrobin,18,15,540,80,2,ac0446d328154370527c2536b6a02e9adb2d44b8,2023-08-16 15:45:27 +1000,,
Std dev,0.0,,,0.4330127018922193,0.0,,,0.0,,0.0,,,0.0,0.0,nan,,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,,0.0,0.0,0.0,0.0,0.0,,,,nan
SU correlation,nan,,,,nan,,,nan,,nan,,,nan,nan,,,nan,nan,nan,nan,,,,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,,,,
SU slope,10.889999999999995,,,,355.5058064516127,,,323.0165894835569,,156.02514369850206,,,0.0001189294099841122,,,,0.4999999999999998,12143.999999999995,0.04243668720054755,1030.702258726899,,,,0.8013687872300642,0.9074999999999995,1.0535015772870657,6.552128418549343,224911.83673469376,70.83578439269904,9.059110749426644,62.613942389636925,,,612.2599999999998,734.7119999999996,20.408666666666658,137.75849999999994,5510.339999999997,,,,
Dimensionless SU slope,0.4999999999999998,,,,0.4999999999999998,,,0.4999999999999998,,0.4999999999999998,,,0.4999999999999998,,,,0.4999999999999998,0.4999999999999998,0.4999999999999998,0.49999999999999967,,,,0.4999999999999998,0.4999999999999998,0.4999999999999998,0.4999999999999998,0.4999999999999998,0.4999999999999998,0.4999999999999998,0.4999999999999998,,,0.49999999999999983,0.4999999999999998,0.4999999999999998,0.4999999999999998,0.4999999999999998,,,,
